INFO  - 2018-03-26 17:40:27.167; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2018-03-26 17:40:27.206; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\contexts at interval 0
INFO  - 2018-03-26 17:40:27.217; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\contexts\solr-jetty-context.xml
INFO  - 2018-03-26 17:40:27.284; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/example/webapps/solr.war!/ to C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr-webapp\webapp
INFO  - 2018-03-26 17:40:31.475; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2018-03-26 17:40:31.641; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2018-03-26 17:40:31.674; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2018-03-26 17:40:31.674; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2018-03-26 17:40:31.682; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2018-03-26 17:40:31.922; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\solr.xml
INFO  - 2018-03-26 17:40:32.245; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr
INFO  - 2018-03-26 17:40:32.283; org.apache.solr.core.CoreContainer; New CoreContainer 21388049
INFO  - 2018-03-26 17:40:32.284; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2018-03-26 17:40:32.316; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2018-03-26 17:40:32.316; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2018-03-26 17:40:32.323; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2018-03-26 17:40:32.325; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2018-03-26 17:40:32.328; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2018-03-26 17:40:32.329; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2018-03-26 17:40:32.329; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2018-03-26 17:40:32.330; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2018-03-26 17:40:32.331; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2018-03-26 17:40:32.331; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2018-03-26 17:40:33.290; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2018-03-26 17:40:33.294; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2018-03-26 17:40:33.296; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2018-03-26 17:40:33.298; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2018-03-26 17:40:33.416; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr
INFO  - 2018-03-26 17:40:33.449; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\
INFO  - 2018-03-26 17:40:33.450; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2018-03-26 17:40:33.454; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\'
INFO  - 2018-03-26 17:40:33.524; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2018-03-26 17:40:33.527; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2018-03-26 17:40:33.528; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2018-03-26 17:40:33.528; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2018-03-26 17:40:33.529; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2018-03-26 17:40:33.530; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
